
SPDR S&P 500 ETF Trust,Last: 427.92,Change:  6.1
Date: 4 June 4, 3:15 PM EDT,Bid: 427.96,Ask: 428.03,Size: 1*6,Volume: 91,391,793
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPY230605C00452000,0.01,0,0,0.01,0,0.2109,0.0019,0.0008,2,452.00,SPY230605P00452000,0,0,23.72,24.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00453000,0,0,0,0.01,0,0.2186,0.0018,0.0007,0,453.00,SPY230605P00453000,0,0,24.72,25.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00454000,0.01,0,0,0.01,0,0.2263,0.0017,0.0006,253,454.00,SPY230605P00454000,0,0,25.72,26.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00455000,0.01,0,0,0.01,0,0.2339,0.0016,0.0006,254,455.00,SPY230605P00455000,27.05,-6.7,26.72,27.54,4,0,-1,0,0
Mon Jun 05 2023,SPY230605C00456000,0,0,0,0.01,0,0.2415,0.0014,0.0005,0,456.00,SPY230605P00456000,30.45,-4.3,27.72,28.54,1,0,-1,0,0
Mon Jun 05 2023,SPY230605C00457000,0,0,0,0.01,0,0.2491,0.0014,0.0005,0,457.00,SPY230605P00457000,0,0,28.72,29.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00458000,0.01,0,0,0.01,0,0.2566,0.0013,0.0004,2,458.00,SPY230605P00458000,0,0,29.72,30.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00459000,0,0,0,0.01,0,0.264,0.0012,0.0004,0,459.00,SPY230605P00459000,0,0,30.72,31.54,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00460000,0.01,0.005,0,0.01,43,0.2715,0.0011,0.0004,2,460.00,SPY230605P00460000,0,0,31.72,32.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00461000,0.01,0,0,0.01,0,0.2789,0.001,0.0003,4,461.00,SPY230605P00461000,0,0,32.71,33.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00462000,0.01,0,0,0.01,0,0.2863,0.001,0.0003,4,462.00,SPY230605P00462000,0,0,33.71,34.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00463000,0,0,0,0.01,0,0.2936,0.0009,0.0003,0,463.00,SPY230605P00463000,0,0,34.71,35.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00464000,0,0,0,0.01,0,0.3009,0.0008,0.0003,0,464.00,SPY230605P00464000,0,0,35.71,36.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00465000,0,0,0,0.01,0,0.3082,0.0008,0.0002,0,465.00,SPY230605P00465000,0,0,36.71,37.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00466000,0.01,0.005,0,0.01,1,0.3154,0.0008,0.0002,0,466.00,SPY230605P00466000,0,0,37.71,38.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00467000,0.01,0,0,0.01,0,0.3227,0.0007,0.0002,3,467.00,SPY230605P00467000,0,0,38.71,39.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00468000,0,0,0,0.01,0,0.3298,0.0007,0.0002,0,468.00,SPY230605P00468000,0,0,39.71,40.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00469000,0.01,0,0,0.01,0,0.337,0.0006,0.0002,1,469.00,SPY230605P00469000,0,0,40.71,41.53,0,0,-1,0,0
Mon Jun 05 2023,SPY230605C00470000,0,0,0,0.01,0,0.3441,0.0006,0.0002,0,470.00,SPY230605P00470000,0,0,41.71,42.53,0,0,-1,0,0
